geohash,value
xnestzd0z,35.0
xnestzhqd,48.0
xnestzhzp,44.0
xnestzjxt,42.0
xnestznr9,44.0
xnesv0068,42.0
xnesv00wn,40.0
xnesv032c,38.0
xnesv03gm,38.0
xnesv06tb,34.0
xnesv0e05,31.0
xnesv0e9y,29.0
xnesv0s6f,30.0
xnesv0sgt,27.0
xnesv0tkx,30.0
xnesv0wj3,30.0
xnesv0wsg,32.0
xnesv0x5k,31.0
xnesv0x9v,32.0
xnesv22py,32.0
xnesv22ty,33.0
xnesv235v,35.0
xnesv23dk,39.0
xnesv24x4,35.0
xnesv25n7,34.0
xnesv25tg,31.0
xnesv260e,40.0
xnesv2hjq,32.0
xnesv2hud,32.0
xnesv2j6t,34.0
xneswr8bk,33.46666666666667
xneswr99d,30.0
xneswrd6v,34.0
xneswre5u,35.0
xneswreu9,37.0
xneswrqvw,42.0
xneswrrs2,42.0
xneswrsmj,38.0
xneswrteg,40.0
xneswrthc,38.0
xneswrw47,45.0
xneswrw80,44.0
xneswwcmz,43.0
xneswwcpq,40.0
xneswwcsr,45.0
xneswwcxk,47.0
xneswwf59,45.0
xneswwf75,43.0
xneswwfek,41.0
xneswwfmt,46.0
xneswwfn3,46.0
xneswwfve,43.0
xneswwg5b,44.0
xneswwg7v,50.0
xneswwgpp,42.0
xneswwguc,51.0
xneswwuj7,52.0
xneswwuw7,51.0
xneswwv7r,51.0
xneswwvj4,50.0
xneswwy50,48.0
xneswwye1,49.0
xneswwzh6,52.0
xneswwzt6,49.0
xneswx0bu,37.0
xneswx0cf,43.0
xneswx0dt,41.0
xneswx0e9,38.0
xneswx10r,43.0
xneswx3tf,45.666666666666664
xneswx3us,50.0
xneswx56m,46.0
xneswx5mf,49.0
xneswx66v,48.0
xneswx6bw,52.0
xneswybnh,50.0
xneswybwy,45.0
xneswycrd,41.0
xneswyczq,40.0
xneswyfx6,38.0
xneswygpq,38.0
xneswygz6,39.0
xneswyuqv,40.0
xneswyuyx,44.0
xneswyvqp,40.0
xneswyvvv,38.0
xneswyyw1,40.0
xneswyznw,40.0
xneswyzyg,43.0
xnesxnbwb,44.0
xnesxncnt,45.0
xnesxncvc,45.0
xnesxnfms,46.0
xnesxnfvr,43.0
xnesxngt6,43.0
xnesxnujh,39.0
xnesxnutx,44.0
xnesxnvqz,40.0
xnesxpn03,38.0
xnesxpndh,38.0
xnesxpphm,37.0
xnesxppxj,39.0
xnesxr21s,36.0
xnesxr2sk,41.0
xnesxr3ng,43.0
xnesxr98u,48.0
xnesxrd62,45.0
xnesxrdgs,49.0
xnesxrekz,48.0
xnesxrsn5,52.0
xnesxrszb,54.0
xnesxrv3w,54.0
xnesxry5j,56.0
xnesxryuf,54.0
xnesxrzqz,54.0
xnesxzupg,32.0
xnesxzuxm,32.0
xnesxzvny,35.0
xnesxzvy8,36.0
xnesxzyq1,38.0
xnesxzyuc,38.0
xnesxzz4z,38.0
xnesxzz8s,36.0
xnesz800m,50.0
xnesz80cg,48.0
xnesz81e0,47.0
xnesz845k,48.0
xnesz84g1,46.0
xnesz857p,47.0
xnesz8h5j,47.0
xnesz8hfg,46.0
xnesz8jdc,46.0
xnesz8n4z,44.0
xnesz8nfy,42.0
xnesz8pej,42.0
xneszb075,44.0
xneszb150,41.0
xneszb1dt,40.0
xneszb43c,40.0
xneszb4cm,37.0
xneszb588,32.0
xnet1zzgv,46.0
xnet21en9,27.714412811387902
xnet232js,39.744089589382
xnet2etzp,33.0
xnet2etzq,42.0
xnet2etzr,37.0
xnet2ewps,40.0
xnet2ey8z,44.0
xnet2ez6p,49.0
xnet2gb4f,52.0
xnet2gb5x,51.0
xnet2gbnw,47.0
xnet2hrgv,38.0
xnet2hry4,37.0
xnet2hx5j,34.0
xnet2hx5m,32.0
xnet2hx5n,31.82456140350877
xnet2hx5p,38.0
xnet2hx71,37.0
xnet2hx7m,36.0
xnet2hx7p,36.0
xnet2hx9h,34.0
xnet2hxh5,31.0
xnet2hxj7,31.0
xnet2hxjv,31.0
xnet2hxq8,31.0
xnet2hz0j,34.0
xnet2hz4f,32.0
xnet2hzn1,31.0
xnet2jp0b,33.0
xnet2jp1b,27.0
xnet2jp40,29.75
xnet2jp48,33.0
xnet2jphd,33.0
xnet2jpje,32.4
xnet2jpmz,31.0
xnet2jpnn,33.0
xnet2jpq1,31.0
xnet2jpv9,32.0
xnet2k1z5,39.0
xnet2k24c,37.0
xnet2k24t,32.63157894736842
xnet2k24x,38.0
xnet2k29b,37.0
xnet2k2cj,40.0
xnet2k32h,40.0
xnet2k4qf,37.0
xnet2k4yc,36.0
xnet2k5pp,37.0
xnet2k5r8,36.0
xnet2k70p,35.5
xnet2k71z,37.0
xnet2k7hy,39.0
xnet2k7pt,42.0
xnet2ke1m,41.0
xnet2ke4g,41.0
xnet2ken4,41.0
xnet2kg19,39.0
xnet2kgh8,40.0
xnet2kgp8,39.0
xnet2kuzz,41.0
xnet2kvrs,42.0
xnet2kvx7,42.0
xnet2kvxk,43.0
xnet2kvxr,43.0
xnet2kyp0,45.0
xnet2kyqg,44.0
xnet2kywx,41.0
xnet2kyz4,36.5
xnet2kyz5,33.0
xnet2kyzd,38.0
xnet2kyzf,38.0
xnet2kyzg,38.375
xnet2m07k,27.0
xnet2m07u,27.0
xnet2m0eh,29.0
xnet2m0je,33.0
xnet2m0mk,29.0
xnet2m14b,30.0
xnet2m16q,33.0
xnet2m1fh,33.0
xnet2m43c,34.0
xnet2m497,34.0
xnet2m49x,34.0
xnet2m49z,33.0
xnet2m514,38.0
xnet2m515,36.0
xnet2m51h,37.0
xnet2m51j,39.0
xnet2m58b,39.0
xnet2mh08,41.0
xnet2mh80,39.0
xnet2mnbs,41.0
xnet2mngt,38.0
xnet2mnyk,34.0
xnet2mqbf,29.0
xnet2mqg8,31.0
xnet2mqwt,32.0
xnet2mw98,30.0
xnet2mwkj,29.0
xnet2mwq6,29.0
xnet2mwr0,31.75
xnet2mwr1,32.0
xnet2mwrb,35.0
xnet2my30,36.0
xnet2my3b,35.0
xnet2my69,32.0
xnet2my70,30.5
xnet2my72,32.0
xnet2my7b,30.0
xnet2mym8,27.0
xnet2myr6,26.0
xnet2qn2e,27.0
xnet2qn6n,29.0
xnet2qneq,31.0
xnet2qnvp,31.0
xnet2qpnt,32.0
xnet2qr25,33.0
xnet2qrd5,32.0
xnet2qrvm,33.0
xnet2u04v,49.0
xnet2u0pk,47.0
xnet2u2h4,45.0
xnet2u2ps,44.0
xnet2u874,42.0
xnet2u8qq,38.0
xnet2ub9n,36.0
xnet2ubfd,31.0
xnet2uc78,28.0
xnet2ucwf,27.0
xnet2v1f9,27.0
xnet2v1y3,33.0
xnet2v3bx,34.0
xnet2v3vk,39.0
xnet2v3wk,39.0
xnet2v3zv,41.0
xnet2v66k,38.0
xnet2v6kf,37.0
xnet2v9mw,49.0
xnet2v9sr,49.0
xnet2v9wz,51.0
xnet2vcfd,49.0
xnet2vcux,51.0
xnet2vd38,44.0
xnet2vd5u,48.0
xnet2vev4,44.0
xnet2vf01,47.0
xnet2vfpk,51.0
xnet2vg9m,41.0
xnet2vgb5,41.0
xnet2vgeg,46.0
xnet2vgy5,49.0
xnet2vs53,42.0
xnet2vsew,45.0
xnet2vskh,48.0
xnet2vthe,44.0
xnet2vtp7,40.0
xnet2vtyq,40.0
xnet2vufw,41.0
xnet2vv8q,41.0
xnet2vvdb,41.0
xnet2vvhj,39.0
xnet2vw5z,42.0
xnet2vwe2,40.0
xnet2vxvf,50.0
xnet2vybc,40.0
xnet2vz1y,41.0
xnet2vz8j,43.0
xnet2vzdg,40.0
xnet2w80t,31.0
xnet2w8kk,31.0
xnet2wb84,31.0
xnet2wbu1,30.0
xnet2wcp8,26.0
xnet2x15r,24.0
xnet2x1r4,23.0
xnet2x36e,23.0
xnet2x3q1,25.0
xnet2x8vq,29.0
xnet2x91m,26.0
xnet2x959,30.0
xnet2x9nc,30.0
xnet2xc29,32.0
xnet2xcd2,41.0
xnet2xcu0,44.0
xnet2xfn7,46.0
xnet2y440,51.0
xnet2y45k,53.0
xnet2y46w,50.0
xnet2y4bd,51.0
xnet2y54e,48.0
xnet2y5ct,48.0
xnet2y5m2,49.0
xnet2y5u2,49.0
xnet3bpbe,42.0
xnet3bpsy,38.0
xnet3br75,40.0
xnet3br88,38.0
xnet3brmf,44.0
xnet3bx2d,43.0
xnet3bx7w,44.0
xnet3bxqy,46.0
xnet3bz69,46.0
xnet3bznk,50.0
xnet3cge3,35.0
xnet3cgp6,35.0
xnet3cnyx,46.0
xnet3cp42,47.0
xnet3cqgj,48.0
xnet3cqx1,46.0
xnet3cse8,36.0
xnet3csp3,36.0
xnet3ct1y,40.0
xnet3ctcj,44.0
xnet3dvy1,34.0
xnet3dww0,34.0
xnet3dx5k,31.0
xnet3dxc3,30.0
